560 Lex #07 Trnstle 01,51,In
560 Lex #07 Trnstle 02,211,In
560 Lex #07 Trnstle 03,41,In
560 Lex #07 Trnstle 06,171,In
560 Lex #07 Trnstle 05,165,In
560 Lex #07 Trnstle 04,81,In
560 Lex #07 Gate 01,0,In
560 Lex #07 Gate 02,0,In
Istar10 560 Lex Lane 01 Out,32,Out
Istar10 560 Lex Lane 02 Out,73,Out
Istar10 560 Lex Lane 03 Out,17,Out
Istar10 560 Lex Lane 04 Out,26,Out
Istar10 560 Lex Lane 05 Out,86,Out
Istar10 560 Lex Lane 06 Out,28,Out
Istar10 Rex01,0,In
Istar10 Rex04,0,In
Istar10 Rex09,45,In
Istar10 Rex12,0,In
