80 Pine #15 Gate 01,4,In
80 Pine #15 Gate 02,14,In
80 Pine #15 Gate 03,3,In
80 Pine #15 Gate 04,24,In
80 Pine #15 Trnstle 01,518,In
80 Pine #15 Trnstle 02,362,In
80 Pine #15 Trnstle 03,594,In
80 Pine #15 Trnstle 04,35,In
80 Pine #15 Trnstle 05,217,In
80 Pine #15 Trnstle 06,190,In
80 Pine #15 Trnstle 07,128,In
80 Pine #15 Trnstle 08,96,In
80 Pine #15 Trnstle 09,172,In
80 Pine #15 Trnstle 10,339,In
80 Pine #15 Trnstle 11,284,In
80 Pine #15 Trnstle 12,522,In
80 Pine TS01 Out,51,Out
80 Pine TS02 Out,216,Out
80 Pine TS03 Out,154,Out
80 Pine TS04 Out,16,Out
80 Pine TS05 Out,66,Out
80 Pine TS06 Out,46,Out
80 Pine TS07 Out,16,Out
80 Pine TS08 Out,62,Out
80 Pine TS09 Out,53,Out
80 Pine TS10 Out,47,Out
80 Pine TS11 Out,151,Out
80 Pine TS12 Out,100,Out
Istar34 Rex01,2,In
Istar34 Rex02,15,In
Istar34 Rex03,9,In
Istar35 Rex01,1,In
Istar36 Rex01,31,In
Istar36 Rex07,26,In
80 Pine TS 09 IN (3rd Party),0,In
